dataset_id,title,description,domain,country,last_modified,temporal_span_years,update_frequency,has_coordinates,spatial_precision,is_open_license,license,format,description_length,num_keywords,has_eurovoc,num_languages,has_multilingual,publisher_type,publisher,dataset_uri,modified_date,temporal_start,temporal_end,keyword_raw,language_raw,has_license_flag,has_temporal_flag,is_machine_readable
http://data.europa.eu/88u/dataset/7af033f7-32bd-68dc-984f-808ce36f7bf4,Speicher - Teilgebiet Lauerwies 1. Änderung,"Bebauungspläne von Speicher:Bebauungsplan ""Lauerwies"" 1. Änderung der Ortsgemeinde Speicher",drought_early_warning,unknown,2026-01-23,0,unknown,True,coordinates,False,,,9,6,False,1,False,other,,http://data.europa.eu/88u/dataset/7af033f7-32bd-68dc-984f-808ce36f7bf4,2026-01-23,,,Bauleitplan | Bebauungsplan | Bplan | Speicher | infoMapAccessService | inspireidentifiziert,,False,False,False
http://data.europa.eu/88u/dataset/49e0857d-e130-46a9-b7c1-00cc6a8320f2~~1,"Special card from the Mittelmark, card from the year 1790","The card with the title — Special Map of the Middle Mark — was drawn in 1790 by Daniel Friedrich Sotzmann and engraved after this template in 1791 by Carl Jäck. It sets the region on a scale of approx. 1: 300 000. For the most part, adjoining areas are not shown. The LGB copied the old colored copper engraving. The reproduction took place in cooperation with the Brandenburg State Archives. There is the original copper engraving, which served as a template. The card has a size of 68 cm x 60 cm.",drought_early_warning,unknown,,0,unknown,True,coordinates,False,,,93,7,False,1,False,other,,http://data.europa.eu/88u/dataset/49e0857d-e130-46a9-b7c1-00cc6a8320f2~~1,,,,Forschung | Historisch | Historische Karte | Karte | Kultur | Stadtplanung | opendata,http://publications.europa.eu/resource/authority/language/DEU,False,False,False
http://data.europa.eu/88u/dataset/phosphorus-33-uptake-by-seven-grassland-plant-species-from-three-contrasting-soil-phosphorus-ch,Phosphorus-33 uptake by seven grassland plant species from three contrasting soil phosphorus chemical forms,"Data comprises of the uptake of the plant nutrient phosphorus (P) by seven common and often co-occurring herbaceous plants grown in limestone grassland soil in pots. P uptake is from one of three different sources of P that were injected into the soil, with the P sources being labelled with radio-isotope 33P, such that uptake of this could be quantified by assessing the radioactivity of the plant tissue. The plant species were grown in pots as monocultures, and as mixed communities containing all seven species. The 33P labelled P sources that were injected into the soil were orthophosphate, DNA and calcium phosphate. Assessment of the amount of 33P taken up was undertaken by harvesting and analysing plant shoots six days after the 33P source was injected into the soil. The datasets contain biomass of the harvested plant material, its radioactivity as assessed by scintillation counting, and the calculated proportion of the 33P supplied that was taken up into plant shoots. The data also contains % cover abundance values of the plant species from surveys undertaken at Wardlow Hay Cop, the limestone grassland from where the soil was sourced on which the plants were grown for the 33P addition study. Full details about this dataset can be found at https://doi.org/10.5285/87cdc267-a8c7-4f59-83b4-1bceaae837ad",drought_early_warning,unknown,,0,unknown,False,,False,,,209,2,False,1,False,other,,http://data.europa.eu/88u/dataset/phosphorus-33-uptake-by-seven-grassland-plant-species-from-three-contrasting-soil-phosphorus-ch,,,,Phosphorus-33 | Soil,,False,False,False
http://data.europa.eu/88u/dataset/30065ec4-511b-4e65-9f1a-3ba0ed4befdd,INSPIRE-Datensatz BPL „Werner-von-Siemens-Straße - Ziegelwiesenweg“,Nach INSPIRE transformierter Bebauungsplan „Werner-von-Siemens-Straße - Ziegelwiesenweg“ der Stadt Bruchsal basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-05,0,unknown,True,coordinates,False,,,18,13,False,1,False,other,,http://data.europa.eu/88u/dataset/30065ec4-511b-4e65-9f1a-3ba0ed4befdd,2021-09-05,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | Werner-von-Siemens-Straße - Ziegelwiesenweg | infraLocal | inspireidentifiziert,http://publications.europa.eu/resource/authority/language/DEU,False,True,False
http://data.europa.eu/88u/dataset/2fe28cc3-5e8b-40d9-931c-6c4ccaeb12af,INSPIRE PLU Sanierung Ortszentrum,INSPIRE PLU Sanierung Ortszentrum,drought_early_warning,unknown,2021-08-04,0,unknown,True,coordinates,False,,,4,5,False,1,False,other,,http://data.europa.eu/88u/dataset/2fe28cc3-5e8b-40d9-931c-6c4ccaeb12af,2021-08-04,,,Bauleitplanung | Bebauungsplan | PlannedLandUse | infraLocal | inspireidentifiziert,http://publications.europa.eu/resource/authority/language/DEU,False,True,False
http://data.europa.eu/88u/dataset/2e41c6b1-a140-4d64-8ddc-892ff6bcc7ea,INSPIRE-Datensatz BPL „Zierenberg 1.Änderung“,Nach INSPIRE transformierter Bebauungsplan „Zierenberg 1.Änderung“ der Gemeinde Zimmern ob Rottweil basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2025-08-08,0,unknown,True,coordinates,False,,,19,13,False,1,False,other,,http://data.europa.eu/88u/dataset/2e41c6b1-a140-4d64-8ddc-892ff6bcc7ea,2025-08-08,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | Zierenberg 1.Änderung | infraLocal | inspireidentifiziert,http://publications.europa.eu/resource/authority/language/DEU,False,True,False
http://data.europa.eu/88u/dataset/2f4c9836-5c61-428a-82ae-9d6191cfdfa6,INSPIRE-Datensatz BPL „Ortsweg 5/2“,Nach INSPIRE transformierter Bebauungsplan „Ortsweg 5/2“ der Stadt Beilstein basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-08,0,unknown,True,coordinates,False,,,17,13,False,1,False,other,,http://data.europa.eu/88u/dataset/2f4c9836-5c61-428a-82ae-9d6191cfdfa6,2021-09-08,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | Ortsweg 5/2 | PlannedLandUse | infraLocal | inspireidentifiziert,http://publications.europa.eu/resource/authority/language/DEU,False,True,False
http://data.europa.eu/88u/dataset/0800af55-8e56-49a0-8986-aa55151d0440,INSPIRE-Dienst für den Bebauungsplan XPlanung-Dienst für den Plan Baulinien Rindelbach Rattstadt Am Ortsweg Nr. 5 (XPlanGML 5.0.1) (INSPIRE GML),INSPIRE-Dienst für den Bebauungsplan Dienst (XPlanGML 5.0.1) für den Plan Baulinien Rindelbach Rattstadt Am Ortsweg Nr. 5 der Stadt Ellwangen (Jagst) (INSPIRE GML),drought_early_warning,unknown,2023-02-25,0,unknown,True,coordinates,False,,,23,7,False,1,False,other,,http://data.europa.eu/88u/dataset/0800af55-8e56-49a0-8986-aa55151d0440,2023-02-25,,,Bauleitplan | Bebauungsplan | Bebauungspläne | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/b1889a8b-4f4a-47de-a04e-40112ad906cf,"WFS INSPIRE BPL Sonnenhalde I, 1. Änderung","WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Sonnenhalde I, 1. Änderung“ der Stadt Schwäbisch Hall basierend auf einem XPlanung-Datensatz in der Version 5.0.",drought_early_warning,unknown,2023-12-04,0,unknown,True,coordinates,False,,,22,14,False,1,False,other,,http://data.europa.eu/88u/dataset/b1889a8b-4f4a-47de-a04e-40112ad906cf,2023-12-04,,,"B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | Sonnenhalde I, 1. Änderung | infoFeatureAccessService | infraLocal | inspireidentifiziert",,False,True,False
http://data.europa.eu/88u/dataset/b08b2c25-2519-4703-8464-2ca20454c46b,WFS INSPIRE BPL Kirchenbach Nord,WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Kirchenbach Nord“ der Stadt Bopfingen basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-06,0,unknown,True,coordinates,False,,,19,14,False,1,False,other,,http://data.europa.eu/88u/dataset/b08b2c25-2519-4703-8464-2ca20454c46b,2021-09-06,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | Kirchenbach Nord | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
